seed = 5735, n = 10, kappa = 5.46e+01, iterations = 101, message = success
seed = 5735, n = 10, kappa = 7.85e+01, iterations = 128, message = success
seed = 5735, n = 10, kappa = 1.13e+02, iterations = 194, message = success
seed = 5735, n = 10, kappa = 1.62e+02, iterations = 227, message = success
seed = 5735, n = 10, kappa = 2.34e+02, iterations = 278, message = success
seed = 5735, n = 10, kappa = 3.36e+02, iterations = 436, message = success
seed = 5735, n = 10, kappa = 4.83e+02, iterations = 531, message = success
seed = 5735, n = 10, kappa = 6.95e+02, iterations = 699, message = success
seed = 5735, n = 10, kappa = 1.00e+03, iterations = 2128, message = success
seed = 6266, n = 10, kappa = 1.00e+00, iterations = 1, message = success
seed = 6266, n = 10, kappa = 1.44e+00, iterations = 7, message = success
seed = 6266, n = 10, kappa = 2.07e+00, iterations = 6, message = success
seed = 6266, n = 10, kappa = 2.98e+00, iterations = 7, message = success
seed = 6266, n = 10, kappa = 4.28e+00, iterations = 10, message = success
seed = 6266, n = 10, kappa = 6.16e+00, iterations = 15, message = success
seed = 6266, n = 10, kappa = 8.86e+00, iterations = 21, message = success
seed = 6266, n = 10, kappa = 1.27e+01, iterations = 29, message = success
seed = 6266, n = 10, kappa = 1.83e+01, iterations = 27, message = success
seed = 6266, n = 10, kappa = 2.64e+01, iterations = 51, message = success
seed = 6266, n = 10, kappa = 3.79e+01, iterations = 86, message = success
seed = 6266, n = 10, kappa = 5.46e+01, iterations = 123, message = success
seed = 6266, n = 10, kappa = 7.85e+01, iterations = 184, message = success
seed = 6266, n = 10, kappa = 1.13e+02, iterations = 245, message = success
seed = 6266, n = 10, kappa = 1.62e+02, iterations = 267, message = success
seed = 6266, n = 10, kappa = 2.34e+02, iterations = 217, message = success
seed = 6266, n = 10, kappa = 3.36e+02, iterations = 318, message = success
seed = 6266, n = 10, kappa = 4.83e+02, iterations = 659, message = success
seed = 6266, n = 10, kappa = 6.95e+02, iterations = 585, message = success
seed = 6266, n = 10, kappa = 1.00e+03, iterations = 473, message = success
seed = 467, n = 10, kappa = 1.00e+00, iterations = 1, message = success
seed = 467, n = 10, kappa = 1.44e+00, iterations = 6, message = success
seed = 467, n = 10, kappa = 2.07e+00, iterations = 6, message = success
seed = 467, n = 10, kappa = 2.98e+00, iterations = 6, message = success
seed = 467, n = 10, kappa = 4.28e+00, iterations = 10, message = success
seed = 467, n = 10, kappa = 6.16e+00, iterations = 12, message = success
seed = 467, n = 10, kappa = 8.86e+00, iterations = 17, message = success
seed = 467, n = 10, kappa = 1.27e+01, iterations = 24, message = success
seed = 467, n = 10, kappa = 1.83e+01, iterations = 34, message = success
seed = 467, n = 10, kappa = 2.64e+01, iterations = 37, message = success
seed = 467, n = 10, kappa = 3.79e+01, iterations = 59, message = success
seed = 467, n = 10, kappa = 5.46e+01, iterations = 55, message = success
seed = 467, n = 10, kappa = 7.85e+01, iterations = 78, message = success
seed = 467, n = 10, kappa = 1.13e+02, iterations = 208, message = success
seed = 467, n = 10, kappa = 1.62e+02, iterations = 197, message = success
seed = 467, n = 10, kappa = 2.34e+02, iterations = 397, message = success
seed = 467, n = 10, kappa = 3.36e+02, iterations = 596, message = success
seed = 467, n = 10, kappa = 4.83e+02, iterations = 561, message = success
seed = 467, n = 10, kappa = 6.95e+02, iterations = 777, message = success
seed = 467, n = 10, kappa = 1.00e+03, iterations = 1305, message = success
seed = 4427, n = 10, kappa = 1.00e+00, iterations = 1, message = success
seed = 4427, n = 10, kappa = 1.44e+00, iterations = 5, message = success
seed = 4427, n = 10, kappa = 2.07e+00, iterations = 9, message = success
seed = 4427, n = 10, kappa = 2.98e+00, iterations = 6, message = success
seed = 4427, n = 10, kappa = 4.28e+00, iterations = 10, message = success
seed = 4427, n = 10, kappa = 6.16e+00, iterations = 14, message = success
seed = 4427, n = 10, kappa = 8.86e+00, iterations = 18, message = success
seed = 4427, n = 10, kappa = 1.27e+01, iterations = 26, message = success
seed = 4427, n = 10, kappa = 1.83e+01, iterations = 37, message = success
seed = 4427, n = 10, kappa = 2.64e+01, iterations = 50, message = success
seed = 4427, n = 10, kappa = 3.79e+01, iterations = 74, message = success
seed = 4427, n = 10, kappa = 5.46e+01, iterations = 67, message = success
seed = 4427, n = 10, kappa = 7.85e+01, iterations = 99, message = success
seed = 4427, n = 10, kappa = 1.13e+02, iterations = 224, message = success
seed = 4427, n = 10, kappa = 1.62e+02, iterations = 143, message = success
seed = 4427, n = 10, kappa = 2.34e+02, iterations = 400, message = success
seed = 4427, n = 10, kappa = 3.36e+02, iterations = 406, message = success
seed = 4427, n = 10, kappa = 4.83e+02, iterations = 301, message = success
seed = 4427, n = 10, kappa = 6.95e+02, iterations = 943, message = success
seed = 4427, n = 10, kappa = 1.00e+03, iterations = 734, message = success
seed = 5579, n = 10, kappa = 1.00e+00, iterations = 1, message = success
seed = 5579, n = 10, kappa = 1.44e+00, iterations = 6, message = success
seed = 5579, n = 10, kappa = 2.07e+00, iterations = 6, message = success
seed = 5579, n = 10, kappa = 2.98e+00, iterations = 6, message = success
seed = 5579, n = 10, kappa = 4.28e+00, iterations = 11, message = success
seed = 5579, n = 10, kappa = 6.16e+00, iterations = 17, message = success
seed = 5579, n = 10, kappa = 8.86e+00, iterations = 24, message = success
seed = 5579, n = 10, kappa = 1.27e+01, iterations = 34, message = success
seed = 5579, n = 10, kappa = 1.83e+01, iterations = 39, message = success
seed = 5579, n = 10, kappa = 2.64e+01, iterations = 58, message = success
seed = 5579, n = 10, kappa = 3.79e+01, iterations = 90, message = success
seed = 5579, n = 10, kappa = 5.46e+01, iterations = 136, message = success
seed = 5579, n = 10, kappa = 7.85e+01, iterations = 32, message = success
seed = 5579, n = 10, kappa = 1.13e+02, iterations = 256, message = success
seed = 5579, n = 10, kappa = 1.62e+02, iterations = 248, message = success
seed = 5579, n = 10, kappa = 2.34e+02, iterations = 355, message = success
seed = 5579, n = 10, kappa = 3.36e+02, iterations = 523, message = success
seed = 5579, n = 10, kappa = 4.83e+02, iterations = 712, message = success
seed = 5579, n = 10, kappa = 6.95e+02, iterations = 842, message = success
seed = 5579, n = 10, kappa = 1.00e+03, iterations = 2077, message = success
seed = 8323, n = 10, kappa = 1.00e+00, iterations = 1, message = success
seed = 8323, n = 10, kappa = 1.44e+00, iterations = 6, message = success
seed = 8323, n = 10, kappa = 2.07e+00, iterations = 8, message = success
seed = 8323, n = 10, kappa = 2.98e+00, iterations = 6, message = success
seed = 8323, n = 10, kappa = 4.28e+00, iterations = 10, message = success
seed = 8323, n = 10, kappa = 6.16e+00, iterations = 14, message = success
seed = 8323, n = 10, kappa = 8.86e+00, iterations = 20, message = success
seed = 8323, n = 10, kappa = 1.27e+01, iterations = 33, message = success
seed = 8323, n = 10, kappa = 1.83e+01, iterations = 21, message = success
seed = 8323, n = 10, kappa = 2.64e+01, iterations = 29, message = success
seed = 8323, n = 10, kappa = 3.79e+01, iterations = 76, message = success
seed = 8323, n = 10, kappa = 5.46e+01, iterations = 107, message = success
seed = 8323, n = 10, kappa = 7.85e+01, iterations = 157, message = success
seed = 8323, n = 10, kappa = 1.13e+02, iterations = 104, message = success
seed = 8323, n = 10, kappa = 1.62e+02, iterations = 67, message = success
seed = 8323, n = 10, kappa = 2.34e+02, iterations = 405, message = success
seed = 8323, n = 10, kappa = 3.36e+02, iterations = 348, message = success
seed = 8323, n = 10, kappa = 4.83e+02, iterations = 832, message = success
seed = 8323, n = 10, kappa = 6.95e+02, iterations = 775, message = success
seed = 8323, n = 10, kappa = 1.00e+03, iterations = 1023, message = success
seed = 1686, n = 10, kappa = 1.00e+00, iterations = 1, message = success
seed = 1686, n = 10, kappa = 1.44e+00, iterations = 6, message = success
seed = 1686, n = 10, kappa = 2.07e+00, iterations = 6, message = success
seed = 1686, n = 10, kappa = 2.98e+00, iterations = 7, message = success
